Date,Open,High,Low,Close,Volume
14-Nov-16,2.00,2.00,1.95,2.00,387467
11-Nov-16,1.93,2.01,1.88,1.99,1040327
10-Nov-16,2.10,2.10,1.91,1.92,1224275
9-Nov-16,1.92,2.08,1.87,2.08,1471387
8-Nov-16,1.93,1.98,1.91,1.98,374947
7-Nov-16,2.00,2.00,1.93,1.93,685987
4-Nov-16,1.98,1.98,1.89,1.92,494537
3-Nov-16,2.00,2.02,1.92,1.92,546986
2-Nov-16,1.97,2.02,1.97,2.00,643331
1-Nov-16,2.13,2.13,1.97,2.00,519705
31-Oct-16,2.07,2.07,1.93,1.97,1126320
28-Oct-16,2.07,2.09,2.02,2.05,770245
27-Oct-16,2.23,2.23,2.05,2.09,1252828
26-Oct-16,2.22,2.28,2.16,2.21,1456889
25-Oct-16,2.20,2.22,2.16,2.17,793624
24-Oct-16,2.13,2.23,2.13,2.16,714899
21-Oct-16,2.18,2.20,2.15,2.16,481327
20-Oct-16,2.21,2.24,2.17,2.18,578382
19-Oct-16,2.22,2.26,2.19,2.21,526610
18-Oct-16,2.34,2.34,2.16,2.20,1318932
17-Oct-16,2.39,2.40,2.22,2.25,963962
14-Oct-16,2.20,2.41,2.20,2.32,1768055
13-Oct-16,2.20,2.20,2.10,2.20,1103333
12-Oct-16,2.28,2.31,2.20,2.22,1348052
11-Oct-16,2.41,2.41,2.28,2.29,841067
10-Oct-16,2.46,2.46,2.36,2.40,724972
7-Oct-16,2.46,2.46,2.36,2.38,780285
6-Oct-16,2.44,2.45,2.34,2.44,1057705
5-Oct-16,2.41,2.48,2.35,2.41,1097006
4-Oct-16,2.52,2.52,2.33,2.38,3001172
3-Oct-16,2.21,2.53,2.20,2.49,4146782
30-Sep-16,2.18,2.25,2.14,2.21,1059658
29-Sep-16,2.21,2.23,2.11,2.11,4666334
28-Sep-16,2.19,2.26,2.12,2.18,2030657
27-Sep-16,2.09,2.24,2.08,2.18,2530972
26-Sep-16,2.04,2.08,2.00,2.06,1050394
23-Sep-16,2.03,2.03,1.95,2.00,688485
22-Sep-16,2.10,2.10,2.01,2.02,651690
21-Sep-16,2.02,2.07,2.01,2.07,494562
20-Sep-16,2.04,2.04,1.98,1.99,540872
19-Sep-16,2.00,2.05,1.99,2.02,350833
16-Sep-16,1.98,2.00,1.94,2.00,445760
15-Sep-16,2.04,2.04,1.93,1.96,239948
14-Sep-16,2.01,2.01,1.90,1.92,447861
13-Sep-16,2.00,2.02,1.85,1.92,1209845
12-Sep-16,2.00,2.04,2.00,2.02,501328
9-Sep-16,2.26,2.26,2.00,2.01,1113581
8-Sep-16,2.20,2.20,2.08,2.10,475247
7-Sep-16,2.05,2.15,2.05,2.09,628276
6-Sep-16,2.15,2.19,2.08,2.13,1494792
2-Sep-16,2.10,2.15,2.10,2.14,562135
1-Sep-16,2.16,2.16,2.06,2.10,674827
31-Aug-16,2.06,2.14,2.05,2.08,731546
30-Aug-16,2.12,2.15,2.04,2.07,754831
29-Aug-16,2.11,2.19,2.06,2.12,1293426
26-Aug-16,2.04,2.17,2.04,2.12,1203249
25-Aug-16,2.09,2.13,2.02,2.05,1176103
24-Aug-16,2.09,2.10,1.98,1.99,1624014
23-Aug-16,2.11,2.14,2.02,2.08,906686
22-Aug-16,2.15,2.18,1.98,2.03,2510744
19-Aug-16,2.16,2.30,2.10,2.11,3796756
18-Aug-16,2.12,2.38,2.06,2.16,11818241
17-Aug-16,1.94,2.01,1.91,1.97,1286139
16-Aug-16,1.91,1.98,1.89,1.96,1165296
15-Aug-16,1.80,1.96,1.80,1.92,1039192
12-Aug-16,1.82,1.86,1.79,1.81,537848
11-Aug-16,1.76,1.86,1.75,1.82,768157
10-Aug-16,1.87,1.88,1.77,1.77,902987
9-Aug-16,1.96,1.97,1.84,1.89,1446113
8-Aug-16,1.98,2.03,1.94,1.97,631852
5-Aug-16,2.01,2.03,1.94,1.99,626210
4-Aug-16,2.00,2.04,1.98,2.00,322721
3-Aug-16,1.91,2.03,1.90,2.00,707782
2-Aug-16,2.07,2.07,1.91,1.96,1089153
1-Aug-16,1.95,2.04,1.95,2.03,685775
29-Jul-16,2.06,2.07,1.93,1.93,1113675
28-Jul-16,2.10,2.15,1.92,2.01,3107695
27-Jul-16,1.90,2.12,1.86,2.04,5354259
26-Jul-16,1.81,1.84,1.76,1.83,1107603
25-Jul-16,1.85,1.92,1.77,1.83,2586264
22-Jul-16,1.70,1.87,1.67,1.81,2231982
21-Jul-16,1.79,1.81,1.68,1.71,2054385
20-Jul-16,1.61,1.75,1.61,1.71,3445365
19-Jul-16,1.85,1.87,1.56,1.57,8995274
18-Jul-16,1.56,2.01,1.49,2.01,18668454
15-Jul-16,1.37,1.40,1.35,1.39,168910
14-Jul-16,1.40,1.40,1.33,1.38,510136
13-Jul-16,1.39,1.41,1.33,1.35,610739
12-Jul-16,1.48,1.50,1.39,1.39,988103
11-Jul-16,1.32,1.45,1.30,1.45,3104867
8-Jul-16,1.28,1.32,1.27,1.29,1010969
7-Jul-16,1.25,1.27,1.23,1.26,872304
6-Jul-16,1.24,1.25,1.23,1.24,262224
5-Jul-16,1.27,1.29,1.24,1.25,451489
1-Jul-16,1.29,1.30,1.26,1.30,302555
30-Jun-16,1.31,1.33,1.24,1.25,2145116
29-Jun-16,1.27,1.34,1.27,1.33,1287976
28-Jun-16,1.25,1.32,1.23,1.26,492615
27-Jun-16,1.28,1.31,1.25,1.25,548985
24-Jun-16,1.33,1.35,1.26,1.27,708410
23-Jun-16,1.36,1.40,1.35,1.36,142607
22-Jun-16,1.39,1.39,1.35,1.35,414102
21-Jun-16,1.37,1.41,1.37,1.37,272301
20-Jun-16,1.41,1.41,1.37,1.38,271995
17-Jun-16,1.37,1.39,1.37,1.39,191492
16-Jun-16,1.37,1.38,1.35,1.37,261160
15-Jun-16,1.39,1.40,1.37,1.38,171342
14-Jun-16,1.40,1.41,1.39,1.39,153578
13-Jun-16,1.41,1.42,1.36,1.42,426545
10-Jun-16,1.40,1.42,1.39,1.40,280788
9-Jun-16,1.42,1.44,1.41,1.42,220783
8-Jun-16,1.45,1.47,1.44,1.44,379278
7-Jun-16,1.44,1.45,1.42,1.44,309860
6-Jun-16,1.44,1.47,1.42,1.44,613746
3-Jun-16,1.39,1.44,1.38,1.41,337096
2-Jun-16,1.48,1.49,1.37,1.39,871800
1-Jun-16,1.40,1.49,1.35,1.44,1494646
31-May-16,1.37,1.39,1.36,1.38,207386
27-May-16,1.35,1.36,1.34,1.36,125637
26-May-16,1.38,1.38,1.34,1.36,326941
25-May-16,1.35,1.38,1.34,1.35,379323
24-May-16,1.41,1.41,1.34,1.36,309554
23-May-16,1.34,1.41,1.34,1.40,208827
20-May-16,1.37,1.37,1.34,1.35,150287
19-May-16,1.35,1.36,1.31,1.36,253460
18-May-16,1.40,1.40,1.36,1.36,133043
17-May-16,1.39,1.40,1.36,1.36,168616
16-May-16,1.35,1.38,1.34,1.38,227665
13-May-16,1.35,1.39,1.34,1.34,349556
12-May-16,1.42,1.42,1.33,1.37,527750
11-May-16,1.38,1.39,1.36,1.39,325169
10-May-16,1.43,1.43,1.38,1.39,448558
