Date,Open,High,Low,Close,Volume
14-Nov-16,4.45,4.59,4.28,4.49,8623
11-Nov-16,4.17,4.76,4.04,4.40,31827
10-Nov-16,4.60,4.66,4.30,4.36,36806
9-Nov-16,4.67,4.78,4.55,4.56,27779
8-Nov-16,4.76,4.96,4.68,4.75,12592
7-Nov-16,4.80,4.81,4.68,4.76,21440
4-Nov-16,4.86,5.00,4.70,4.75,23628
3-Nov-16,4.86,4.95,4.84,4.84,16533
2-Nov-16,5.04,5.04,4.76,4.90,26683
1-Nov-16,5.11,5.11,4.80,5.00,28795
31-Oct-16,5.16,5.31,5.08,5.20,16419
28-Oct-16,5.22,5.22,5.06,5.17,13743
27-Oct-16,5.60,5.60,4.95,5.25,47249
26-Oct-16,5.56,5.58,5.38,5.51,16875
25-Oct-16,5.25,5.55,5.25,5.55,81309
24-Oct-16,5.15,5.34,5.00,5.27,74401
21-Oct-16,5.00,5.00,4.93,5.00,29248
20-Oct-16,4.89,5.05,4.84,4.92,44748
19-Oct-16,4.90,4.95,4.75,4.85,22468
18-Oct-16,5.00,5.05,4.77,4.93,24683
17-Oct-16,5.00,5.00,4.95,4.95,4442
14-Oct-16,5.05,5.05,4.94,5.00,21773
13-Oct-16,4.99,5.03,4.99,4.99,4513
12-Oct-16,5.07,5.07,4.93,4.96,2166
11-Oct-16,5.10,5.10,4.98,5.00,36831
10-Oct-16,4.93,5.06,4.90,5.03,19792
7-Oct-16,4.94,4.98,4.90,4.96,11079
6-Oct-16,5.05,5.05,4.90,4.90,10256
5-Oct-16,5.19,5.19,4.99,5.00,6153
4-Oct-16,5.14,5.24,4.95,5.04,14225
3-Oct-16,5.14,5.24,5.02,5.07,6531
30-Sep-16,5.09,5.19,5.02,5.17,8936
29-Sep-16,5.13,5.17,4.90,5.12,15068
28-Sep-16,5.12,5.13,4.98,5.13,13165
27-Sep-16,5.20,5.20,4.92,5.13,15423
26-Sep-16,5.25,5.25,5.11,5.19,5914
23-Sep-16,5.32,5.32,5.24,5.29,16757
22-Sep-16,5.25,5.31,5.23,5.25,4028
