Date,Open,High,Low,Close,Volume
14-Nov-16,5.12,5.19,4.93,4.98,1896408
11-Nov-16,5.21,5.50,4.96,5.11,4071355
10-Nov-16,4.49,4.78,-,4.71,1528794
9-Nov-16,4.18,4.85,4.15,4.79,2525726
8-Nov-16,5.02,5.09,4.88,4.99,1420832
7-Nov-16,4.93,5.04,4.86,4.92,1454565
4-Nov-16,4.64,4.90,4.61,4.71,1793156
3-Nov-16,4.84,4.84,4.57,4.65,1738485
2-Nov-16,4.87,4.91,4.59,4.63,1770056
1-Nov-16,5.20,5.30,4.85,4.86,2180482
31-Oct-16,5.18,5.30,5.03,5.21,1421286
28-Oct-16,5.36,5.53,5.12,5.18,1056634
27-Oct-16,5.65,5.71,5.35,5.37,1623187
26-Oct-16,5.95,6.00,5.53,5.53,2002605
25-Oct-16,6.07,6.15,5.96,5.98,804378
24-Oct-16,6.29,6.34,6.01,6.08,1243040
21-Oct-16,6.62,6.68,6.19,6.27,2503441
20-Oct-16,6.64,6.74,6.52,6.67,704889
19-Oct-16,6.57,6.78,6.51,6.65,743378
18-Oct-16,6.50,6.64,6.40,6.53,824078
17-Oct-16,6.36,6.56,6.33,6.42,908757
14-Oct-16,6.60,6.67,6.36,6.38,1378456
13-Oct-16,6.75,6.80,6.46,6.54,1602906
12-Oct-16,7.01,7.23,6.74,6.81,1415338
11-Oct-16,7.00,7.34,6.84,7.02,2300506
10-Oct-16,6.55,7.09,6.51,6.91,2904410
7-Oct-16,6.47,6.75,6.26,6.49,4809634
6-Oct-16,6.35,6.40,6.06,6.12,687009
5-Oct-16,5.92,6.28,5.90,6.26,918013
4-Oct-16,6.21,6.24,5.90,5.91,1015262
3-Oct-16,6.31,6.38,6.05,6.17,994855
30-Sep-16,6.29,6.34,6.15,6.30,1731452
29-Sep-16,6.25,6.35,6.13,6.24,1023602
28-Sep-16,6.23,6.29,6.08,6.23,959188
27-Sep-16,6.01,6.16,5.99,6.16,1020798
26-Sep-16,5.92,6.10,5.86,6.03,982481
