Date,Open,High,Low,Close,Volume
16-Nov-16,-,1.00,-,0.93,-
14-Nov-16,1.00,1.00,0.93,0.95,61815
11-Nov-16,1.00,1.00,0.95,1.00,34419
10-Nov-16,1.00,1.01,0.96,1.00,63315
9-Nov-16,1.05,1.05,0.95,0.99,20137
8-Nov-16,0.99,1.02,0.98,0.99,28394
7-Nov-16,1.02,1.02,0.98,0.99,47962
4-Nov-16,1.06,1.08,1.03,1.05,29295
3-Nov-16,1.01,1.09,1.01,1.07,267551
2-Nov-16,0.98,1.02,0.93,1.02,40112
1-Nov-16,1.00,1.00,0.93,0.95,20590
31-Oct-16,0.95,1.00,0.94,0.99,382930
28-Oct-16,0.97,1.00,0.95,0.95,15259
27-Oct-16,0.93,0.95,0.92,0.93,51546
26-Oct-16,0.95,0.98,0.93,0.94,41304
25-Oct-16,0.96,1.00,0.95,0.95,19453
24-Oct-16,1.00,1.00,0.95,0.96,43893
21-Oct-16,1.01,1.03,0.97,0.98,22184
20-Oct-16,1.03,1.03,0.94,0.97,43710
19-Oct-16,1.05,1.06,1.00,1.02,55176
18-Oct-16,1.03,1.04,1.00,1.00,74646
17-Oct-16,1.09,1.09,1.00,1.03,57971
14-Oct-16,1.06,1.07,1.03,1.05,27624
13-Oct-16,1.11,1.12,1.05,1.05,133473
12-Oct-16,1.12,1.14,1.10,1.12,52471
11-Oct-16,1.16,1.19,1.11,1.13,12873
10-Oct-16,1.12,1.18,1.12,1.18,48496
7-Oct-16,1.13,1.14,1.11,1.13,32448
6-Oct-16,1.13,1.19,1.13,1.14,48922
5-Oct-16,1.13,1.15,1.13,1.14,11519
4-Oct-16,1.16,1.18,1.13,1.13,54361
3-Oct-16,1.21,1.21,1.12,1.17,23894
30-Sep-16,1.15,1.23,1.15,1.21,185108
29-Sep-16,1.15,1.21,1.15,1.20,184185
28-Sep-16,1.15,1.20,1.08,1.15,199062
27-Sep-16,1.23,1.27,1.17,1.19,258171
26-Sep-16,1.24,1.25,1.23,1.23,54202
23-Sep-16,1.25,1.25,1.22,1.24,72101
22-Sep-16,1.33,1.34,1.25,1.25,144538
21-Sep-16,1.27,1.40,1.27,1.32,329167
20-Sep-16,1.27,1.27,1.22,1.26,49768
19-Sep-16,1.23,1.30,1.18,1.27,403293
16-Sep-16,1.18,1.22,1.15,1.22,91517
15-Sep-16,1.14,1.22,1.14,1.18,94932
14-Sep-16,1.09,1.14,1.09,1.13,38917
13-Sep-16,1.11,1.12,1.09,1.09,41612
12-Sep-16,1.08,1.15,1.08,1.13,73831
9-Sep-16,1.21,1.26,1.07,1.07,273660
8-Sep-16,1.31,1.32,1.21,1.22,127449
7-Sep-16,1.32,1.33,1.30,1.30,97779
6-Sep-16,1.32,1.35,1.32,1.32,157252
2-Sep-16,1.35,1.36,1.32,1.32,54585
1-Sep-16,1.40,1.45,1.32,1.34,350441
31-Aug-16,1.28,1.40,1.27,1.38,941747
30-Aug-16,1.22,1.29,1.20,1.25,247501
29-Aug-16,1.15,1.22,1.15,1.22,104276
26-Aug-16,1.15,1.19,1.14,1.16,52066
25-Aug-16,1.20,1.21,1.08,1.12,185689
24-Aug-16,1.27,1.33,1.19,1.21,158819
23-Aug-16,1.25,1.30,1.24,1.26,82898
22-Aug-16,1.25,1.25,1.20,1.25,79955
19-Aug-16,1.24,1.30,1.23,1.23,316270
18-Aug-16,1.20,1.30,1.20,1.24,316991
17-Aug-16,1.14,1.20,1.14,1.19,154569
16-Aug-16,1.16,1.24,1.16,1.18,248175
15-Aug-16,1.16,1.16,1.12,1.15,31414
12-Aug-16,1.15,1.17,1.13,1.16,184951
11-Aug-16,1.17,1.17,1.11,1.16,109842
10-Aug-16,1.16,1.17,1.10,1.16,295028
9-Aug-16,1.10,1.20,1.08,1.18,669044
8-Aug-16,1.05,1.11,0.97,1.10,587956
5-Aug-16,1.01,1.03,1.01,1.03,75068
4-Aug-16,1.05,1.06,1.01,1.03,59552
3-Aug-16,1.06,1.06,1.04,1.05,147574
2-Aug-16,1.06,1.07,1.06,1.07,9975
1-Aug-16,1.05,1.06,1.03,1.05,87751
29-Jul-16,1.06,1.08,1.05,1.05,97962
28-Jul-16,1.08,1.08,1.05,1.06,55665
27-Jul-16,1.09,1.17,1.06,1.06,233965
26-Jul-16,1.08,1.08,1.04,1.08,43731
25-Jul-16,1.06,1.08,1.02,1.08,56109
22-Jul-16,1.08,1.08,1.06,1.08,74184
21-Jul-16,1.09,1.09,1.06,1.06,42002
20-Jul-16,1.08,1.08,1.06,1.08,61438
19-Jul-16,1.08,1.11,1.07,1.07,62195
18-Jul-16,1.09,1.09,1.06,1.08,60478
15-Jul-16,1.08,1.09,1.06,1.07,38915
14-Jul-16,1.09,1.09,1.07,1.08,53869
13-Jul-16,1.08,1.15,1.07,1.09,404031
12-Jul-16,1.09,1.09,1.06,1.08,41722
11-Jul-16,1.08,1.09,1.06,1.08,53532
8-Jul-16,1.06,1.08,1.06,1.06,87474
7-Jul-16,1.10,1.10,1.07,1.09,66308
6-Jul-16,1.07,1.09,1.06,1.08,21617
5-Jul-16,1.11,1.11,1.06,1.07,46095
1-Jul-16,1.08,1.13,1.06,1.11,80372
30-Jun-16,1.07,1.08,1.05,1.05,35709
29-Jun-16,1.06,1.08,1.04,1.06,27012
28-Jun-16,1.06,1.08,1.05,1.05,30879
27-Jun-16,1.06,1.07,1.04,1.05,34202
24-Jun-16,1.05,1.06,1.04,1.05,32106
23-Jun-16,1.05,1.08,1.04,1.06,75405
22-Jun-16,1.06,1.08,1.05,1.05,146778
21-Jun-16,1.07,1.08,1.05,1.07,30457
20-Jun-16,1.05,1.10,1.03,1.08,14705
17-Jun-16,1.05,1.08,1.03,1.05,16542
16-Jun-16,1.06,1.07,1.02,1.05,78498
15-Jun-16,1.22,1.25,1.06,1.07,202935
14-Jun-16,1.09,1.09,1.03,1.05,22759
13-Jun-16,1.04,1.08,1.02,1.06,92901
10-Jun-16,1.05,1.06,1.01,1.02,130267
9-Jun-16,1.06,1.06,1.05,1.05,51663
8-Jun-16,1.05,1.10,1.05,1.05,72992
7-Jun-16,1.07,1.09,1.05,1.05,44260
6-Jun-16,1.09,1.10,1.04,1.07,60105
3-Jun-16,1.07,1.08,1.02,1.07,25507
2-Jun-16,1.07,1.10,1.05,1.05,73452
1-Jun-16,1.05,1.09,1.05,1.07,83937
31-May-16,1.05,1.10,1.05,1.09,118639
27-May-16,1.05,1.06,1.03,1.05,58959
26-May-16,1.02,1.14,1.01,1.08,437490
25-May-16,1.05,1.10,0.97,1.05,496527
24-May-16,0.92,0.93,0.86,0.91,108799
23-May-16,0.90,0.92,0.88,0.91,121294
20-May-16,0.91,0.93,0.88,0.88,180654
19-May-16,0.96,0.98,0.88,0.92,178940
18-May-16,1.01,1.06,0.92,0.94,422459
17-May-16,1.05,1.29,0.98,0.98,4827414
16-May-16,0.95,0.95,0.83,0.87,389949
13-May-16,1.00,1.00,0.93,0.96,293151
12-May-16,0.98,1.00,0.98,0.98,79283
11-May-16,1.02,1.05,0.95,0.97,157542
10-May-16,0.98,1.00,0.97,1.00,113205
9-May-16,1.00,1.01,0.98,0.99,61802
6-May-16,0.97,1.01,0.96,1.00,125647
5-May-16,1.13,1.19,0.95,1.00,383340
4-May-16,1.11,1.13,1.08,1.09,203321
3-May-16,1.15,1.20,1.07,1.15,430468
2-May-16,1.20,1.22,1.15,1.15,106200
29-Apr-16,1.18,1.25,1.18,1.20,228386
28-Apr-16,1.18,1.25,1.18,1.19,132454
27-Apr-16,1.25,1.28,1.17,1.20,159321
26-Apr-16,1.24,1.25,1.21,1.25,193452
25-Apr-16,1.30,1.30,1.25,1.26,124062
22-Apr-16,1.33,1.33,1.27,1.27,83839
21-Apr-16,1.29,1.35,1.27,1.31,222175
20-Apr-16,1.22,1.37,1.22,1.28,504725
19-Apr-16,1.20,1.23,1.15,1.23,84177
18-Apr-16,1.20,1.24,1.18,1.18,94834
15-Apr-16,1.23,1.23,1.20,1.20,96048
14-Apr-16,1.21,1.24,1.21,1.23,81641
13-Apr-16,1.27,1.28,1.20,1.23,162883
12-Apr-16,1.26,1.29,1.20,1.27,166691
11-Apr-16,1.17,1.25,1.17,1.25,176707
8-Apr-16,1.24,1.25,1.11,1.18,249511
7-Apr-16,1.25,1.30,1.20,1.21,218070
6-Apr-16,1.16,1.35,1.15,1.24,1880927
5-Apr-16,1.12,1.13,1.10,1.12,106210
4-Apr-16,1.15,1.15,1.10,1.11,107327
1-Apr-16,1.10,1.15,1.10,1.12,181124
31-Mar-16,1.15,1.20,1.11,1.12,770058
30-Mar-16,1.08,1.13,1.03,1.11,1302632
29-Mar-16,1.22,1.22,1.02,1.05,694041
28-Mar-16,0.94,1.24,0.91,1.20,2164481
24-Mar-16,0.85,0.88,0.83,0.85,110957
23-Mar-16,0.92,0.92,0.85,0.86,132092
22-Mar-16,0.92,0.93,0.88,0.90,170878
21-Mar-16,0.93,0.95,0.91,0.94,89647
18-Mar-16,0.92,0.94,0.88,0.92,76214
17-Mar-16,0.87,0.92,0.87,0.92,17205
16-Mar-16,0.93,0.93,0.87,0.89,106274
15-Mar-16,0.90,0.94,0.90,0.94,314033
14-Mar-16,0.90,0.90,0.80,0.87,349208
11-Mar-16,0.92,0.93,0.92,0.93,169163
10-Mar-16,0.86,0.90,0.82,0.90,154246
9-Mar-16,0.89,0.89,0.84,0.89,40211
8-Mar-16,0.93,0.93,0.89,0.89,129522
7-Mar-16,0.94,0.97,0.92,0.92,136028
4-Mar-16,0.91,0.97,0.91,0.93,44079
3-Mar-16,0.94,0.97,0.91,0.94,56358
2-Mar-16,0.95,0.97,0.91,0.96,29978
1-Mar-16,0.92,0.93,0.90,0.93,99940
29-Feb-16,0.94,0.95,0.90,0.92,47366
26-Feb-16,0.93,0.94,0.90,0.93,31711
25-Feb-16,0.95,0.95,0.91,0.93,46368
24-Feb-16,0.80,0.93,0.80,0.93,112683
23-Feb-16,0.84,0.85,0.80,0.84,79899
22-Feb-16,0.80,0.83,0.80,0.83,25274
19-Feb-16,0.81,0.81,0.76,0.76,83441
18-Feb-16,0.80,0.82,0.78,0.80,45646
17-Feb-16,0.75,0.82,0.75,0.78,30618
16-Feb-16,0.74,0.74,0.70,0.74,97429
12-Feb-16,0.58,0.69,0.58,0.68,900745
11-Feb-16,0.58,0.61,0.55,0.57,132900
10-Feb-16,0.57,0.63,0.57,0.61,166823
9-Feb-16,0.64,0.64,0.56,0.58,45880
8-Feb-16,0.63,0.68,0.61,0.68,135619
5-Feb-16,0.64,0.66,0.62,0.62,48301
4-Feb-16,0.65,0.66,0.62,0.66,59561
3-Feb-16,0.65,0.66,0.61,0.64,19716
2-Feb-16,0.64,0.66,0.62,0.66,60983
1-Feb-16,0.64,0.64,0.61,0.64,34852
29-Jan-16,0.62,0.66,0.60,0.64,100462
28-Jan-16,0.63,0.63,0.60,0.62,145515
27-Jan-16,0.64,0.67,0.60,0.63,144580
26-Jan-16,0.64,0.69,0.60,0.65,51894
25-Jan-16,0.66,0.70,0.60,0.63,60565
22-Jan-16,0.67,0.68,0.60,0.68,55946
21-Jan-16,0.60,0.69,0.60,0.67,116864
20-Jan-16,0.68,0.68,0.48,0.59,296058
19-Jan-16,0.68,0.74,0.63,0.63,222790
15-Jan-16,0.70,0.76,0.62,0.68,236593
14-Jan-16,0.79,0.79,0.67,0.71,408185
13-Jan-16,0.83,1.00,0.71,0.84,597223
12-Jan-16,0.85,0.94,0.83,0.86,50502
11-Jan-16,0.92,0.94,0.87,0.89,58606
8-Jan-16,0.96,0.96,0.85,0.89,157627
7-Jan-16,0.96,0.98,0.93,0.94,133113
6-Jan-16,0.98,0.98,0.93,0.96,82702
5-Jan-16,0.95,1.04,0.95,0.96,51356
4-Jan-16,0.95,0.96,0.92,0.93,60478
31-Dec-15,1.00,1.03,0.94,0.96,104687
30-Dec-15,0.97,1.01,0.95,0.98,128743
29-Dec-15,0.98,1.05,0.98,1.00,47065
28-Dec-15,1.04,1.08,0.98,0.98,71438
24-Dec-15,1.04,1.08,1.00,1.03,45447
23-Dec-15,1.01,1.06,0.98,1.06,168676
22-Dec-15,1.00,1.00,0.96,0.98,112644
21-Dec-15,0.98,1.02,0.98,1.00,41136
18-Dec-15,1.00,1.05,0.95,0.95,141092
17-Dec-15,1.00,1.03,0.98,1.03,92345
16-Dec-15,1.03,1.07,0.99,1.01,48637
15-Dec-15,1.07,1.09,1.00,1.01,77544
14-Dec-15,1.00,1.07,1.00,1.07,107178
11-Dec-15,1.09,1.11,0.98,0.99,200561
10-Dec-15,1.06,1.13,1.03,1.09,145891
9-Dec-15,1.11,1.20,1.01,1.09,966364
8-Dec-15,0.86,1.10,0.86,1.09,676671
7-Dec-15,0.90,0.90,0.86,0.86,114322
4-Dec-15,0.90,0.95,0.88,0.91,21974
3-Dec-15,0.88,0.91,0.88,0.91,18534
2-Dec-15,0.90,0.90,0.87,0.89,50365
